CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
1,admin,adminpass,g0t r00t?,User,System,Administrator,2b53d8f02295095f201495701400b22d,8b0f00deb1499162bd8f046f4cbd787c16cfcf157bc9ad03bc795a14096d043b
2,adrian,somepassword,Zombie Films Rock!,User,Adrian,Crenshaw,5767684c1915fa86d2a8438f47cf0e5c,6100dc3e8fde6b3a64bdf5c8cb5b69c85dc48c9487864f09e7bf757733b6d98b
3,patches,tortoise,meow,User,Patches,Pester,4b7d2815f06712ec786907ade8bdbcab,8a65e40ac8cc688b1a0a23eb0d0d09a5d5272470dd728bdb85ff03910f1f1e84
4,jeremy,password,d1373 1337 speak,User,Jeremy,Druin,c5007a02ce0c6e5788af00dfbe8e573b,b2e422dd8740fab7914655eedc80797b6967c2e16ac8d8d171e259d493336a57
5,bryce,password,I Love SANS,User,Bryce,Galbraith,2ab5fc1cdfbee8f913d645df6be7ac3f,b9c6127d1d9c3072a1b24cf9276fc3f3e6a48e05b1dfca52d8fc4e74b04cdee1
6,samurai,samurai,Carving fools,User,Samurai,WTF,0a3a8c3733895825eda420a41ca2f89f,7b03834269aaef7d07cefe9e04c0f560863cfdd56b871cf83bd092e1ed5393bd
7,dodgerjim,password,Rome is burning,User,Jim,Rome,4e75274a05712e80306b7e00de8c6a28,6191dcbaf67b98196c1658eb74e29bea4029117aef319aeed2f90f202c18aafc
8,bobby,password,Hank is my dad,User,Bobby,Hill,be512bee7d4204d9e47f3e352957e0b8,603aeaff47bce2a77a455ac1c5e27e5c2ff02b8b3270ad0ea648440489097201
9,simba,password,I am a super-cat,User,Simba,Lion,7ceaade72b9c389ea12166e1065a1749,51121f0d13ef12f0006e0f02e7781cfef1330157bebe533bf1578e0a10ffae92
10,dreveil,password,Preparation H,User,Dr.,Evil,277ed4b79ef2e4351bcd0479ed20b361,256bb16458070f1405ecfa5710be3816c69e2bc8438167538cd6257b148f4007
11,scotty,password,Scotty do,User,Scotty,Evil,36e3a9691a35e496a4e98e8dd81046a3,7b868b75b73c5fd8e601d8ac8cbc01e76fbd4daab3c97d7b1110f3d6211043c5
12,cal,password,C-A-T-S Cats Cats Cats,User,John,Calipari,cf223d8bdc51c191dda3b195c38142b6,171e55eb12d63322514df9a1422bff60930d5f9bc028dd83510ff823604c54c7
13,john,password,Do the Duggie!,User,John,Wall,a7d08da0d5c50e640ac4ed4e2fe4d9be,b6b41233240f4eeb2421ec00094d45cb3a3a46a3fbdbe32da499d5ca9d623471
14,kevin,42,Doug Adams rocks,User,Kevin,Johnson,90a72214b04d320b6756ec40e2e76647,603d4e7ad71d3732dac95d36b656e4ad1d56ee5653531a6ec38ff6ba1f68ffd0
15,dave,set,Bet on S.E.T. FTW,User,Dave,Kennedy,8d68180d6f9892cf9078f1d1a861262f,3c11d29efee68aa269b54c65aed086e5e2e1613f345b43ca1cc86ba77c95d6b4
16,rocky,stripes,treats?,User,Rocky,Paws,5e3fa96e5bdc1c7e8c8201a1204e347c,ff2cf02bbfb169900d1237a761df646edd7637176c49689d132d1c3f2acfb760
17,tim,lanmaster53,Because reconnaissance is hard to spell,User,Tim,Tomes,984087d3bb3433db0a320605bc55fd28,3f5372397311a92a1b0518444f88afcf23b613cef78a10df1e106fd29bc8cc78
18,ABaker,SoSecret,Muffin tops only,User,Aaron,Baker,71c8ae7e708cf00ff0df9ccef1455bb4,12cdd3f3009772a1559e4a575cb5eabda5ce42b7befe1274086bb90fa3e011de
